agency,address_page
TLC,https://nyctaxi.tumblr.com/taxihome
1st Choice Community Health Care,https://www.fcch.com/locations-hours/
VA New Mexico,https://iqconnect.lmhostediq.com/IQExtranet/iqClickTrk.aspx?&cid=MaineVets&crop=0000.0000.0000.0000&report_id=&redirect=https%3A%2F%2Fwww.benefits.va.gov%2Fbenefits%2Foffices.asp&redir_log=627376328185338
Porter Adventist Hospital,https://www.adventhealth.com/hospital/adventhealth-porter/our-location
M.D. Anderson Cancer Center,https://www.mdanderson.org/about-md-anderson/our-locations/texas-medical-center.html
Valley Family Care Center,https://www.ivfcmg.com/
Plaza Healthcare Nursing Home,https://www.plazahealthcare.com/
Dr. Juneau's Office,https://www.flyalaskaseaplanes.com/contact-us/
University Hospital Cancer Ctr,https://www.uhhospitals.org/locations/uh-seidman-cancer-center
Dixie Dialysis Center,http://www.davita.com/locations/ut/st-george/720-s-river-rd--12563
Central MT Skilled Nursing,https://www.norcen.org/
Full Circle Center,http://fullcirclemed.org/
Gene Lyndt,https://www.ridleytreecc.org/cancer-center/about-us/newsletter-publications/oncenter-summer-2020/a-community-of-care
Dr. Donna Rabin,https://www.healthgrades.com/physician/dr-donna-rabin-2hjgt
Cancer Center,https://www.uhcancercenter.org/
Barrow Neuro-Surgical Associates,https://www.barrowneuro.org/
Dr. Gowda's Office,https://www.txsleepmedicine.com/
Total Care @ Home,https://www.iowatotalcare.com/
LAPD,https://www.lapdonline.org/contact-us/
Angel Flight West,https://angelflightwest.org/about-us/
Salt Lake Woman Center,https://intermountainhealthcare.org/locations/avenues-womens-center
Richard Later,https://www.montgomeryschoolsmd.org/schools/rmhs/
Phoenix Children's Hospital,https://phoenixchildrens.org/about-us/contact
Southeast Colorado Medical Clinic,https://www.sechosp.org/getpage.php?name=contact
Dr. Tartak Office,https://www.yelp.com/biz/dalel-tartak-md-rowland-heights-3
CCSB,https://www.coveredca.com/agents/contact-covered-california-for-small-business/
Canyon Counseling Center,https://canyoncounselingcenter.org/
"Dept of Veterans Affairs, Silver City CB",https://ftp.supercollege.com/scholarship-search/go.cfm?id=EC1595DE-1372-063F-7E9A978008E311A0
Open Door Health,https://odhpvd.org/
Veterans Hospital,https://www.barstowca.org/residents/veteran-s-affairs
American Cancer,Not Found
Namaste Health Center,Not Found
Seattle VA Hospital,https://iqconnect.lmhostediq.com/IQExtranet/iqClickTrk.aspx?&cid=MaineVets&crop=0000.0000.0000.0000&report_id=&redirect=https%3A%2F%2Fwww.benefits.va.gov%2Fbenefits%2Foffices.asp&redir_log=627376328185338
Department of Neurology,Not Found
5 Rock Ranch,Not Found
Edwin R. Smith/SurgeOne PC,https://health.usnews.com/doctors/edwin-smith-86224
Dubs Cancer Center/Radiation Onclolgy,Not Found
Providence,Not Found
South Quebec Family Medicine,https://www.uchealth.org/locations/uchealth-family-medicine-a-f-williams-central-park/
Health Essentials,https://health.clevelandclinic.org/contact-us
HAWC Clinic,https://hawc.org/contact/
Angel Flight Central,https://www.angelflightcentral.org/contact
Shriner's Hospital Spokane,https://www.shrinerschildrens.org/en/locations/spokane
Dr. Douglas Brockmeyer,https://bobbyjonescsf.org/csf-events/10-8-20-ask-the-expert/
Navapache Regional Med,https://www.reliasmedia.com/articles/49890-navapache-regional-medical-center-therapeutic-touch-policy
Emory Plastic Surgery,https://www.emoryhealthcare.org/centers-programs/plastic-and-reconstructive-surgery
