agency_name_web_scraped_list,placeId,placeId_1,placeId_2,placeId_3,placeId_4,placeId_5,placeId_6,placeId_7,placeId_8,placeId_9,placeId_10,placeId_11,placeId_12,placeId_13,placeId_14,placeId_15,placeId_16,placeId_17,placeId_18,placeId_19,placeId_20
Zuni PHS Hospital,ChIJ9Rw4w_2qJYcRU1YxdY-xYls,ChIJ9Rw4w_2qJYcRU1YxdY-xYls,,,,,,,,,,,,,,,,,,,
Zion Eye Institute,ChIJv3ljCRlbyoARHOgSTfGJzxc,ChIJv3ljCRlbyoARHOgSTfGJzxc,ChIJaZqt_4lDyoAR-glUD3Hhryo,,,,,,,,,,,,,,,,,,
YWCA Yakima,ChIJSztONeTXmVQRcMitDZVBGhU,ChIJSztONeTXmVQRcMitDZVBGhU,,,,,,,,,,,,,,,,,,,
YWCA Spokane,ChIJVZz6hFgYnlQR0AY_EIlsiww,ChIJVZz6hFgYnlQR0AY_EIlsiww,,,,,,,,,,,,,,,,,,,
YWCA Seattle,ChIJi8hGqbZqkFQRq07YyZvN-4Y,ChIJi8hGqbZqkFQRq07YyZvN-4Y,ChIJdbdkpt5qkFQRjHkysba11jw,ChIJ58RDjkwVkFQR48mlEuAVMwE,,,,,,,,,,,,,,,,,
YWCA San Diego County,ChIJSfcqt6BU2YARDMXyOBGSIjg,ChIJSfcqt6BU2YARDMXyOBGSIjg,,,,,,,,,,,,,,,,,,,
YWCA Salt Lake City,ChIJ3cII0BL1UocRdf_xmjYkB9E,ChIJ3cII0BL1UocRdf_xmjYkB9E,,,,,,,,,,,,,,,,,,,
YWCA of Utah,ChIJ3cII0BL1UocRdf_xmjYkB9E,ChIJ3cII0BL1UocRdf_xmjYkB9E,,,,,,,,,,,,,,,,,,,
YWCA Missoula,ChIJaRsybHzOXVMR4KRkknLJggk,ChIJaRsybHzOXVMR4KRkknLJggk,,,,,,,,,,,,,,,,,,,
YWCA Mercy Home,ChIJE0H2LvI3QlMRS4VyT2B-8Hc,ChIJE0H2LvI3QlMRS4VyT2B-8Hc,,,,,,,,,,,,,,,,,,,
YWCA Clark County Safe Choice Program,ChIJGXCJ6y-vlVQRhoZNYbwAUT0,ChIJGXCJ6y-vlVQRhoZNYbwAUT0,,,,,,,,,,,,,,,,,,,
YVFW Family Medical Center,ChIJT6NGP2QYmFQRElt3fyVrZpg,ChIJT6NGP2QYmFQRElt3fyVrZpg,ChIJ__8_vW1qolQR2ZfMCtf95VE,ChIJBWFVcuHXmVQRexEyxUrqckQ,ChIJN1pNxEqAl1QRPAlnNQvuhOE,ChIJjRSlp4zXmVQRaScXve3lVEU,ChIJi0i5nTJjl1QRR2TEKJ0CNB4,ChIJUYzmOfzXmVQRubO7jAv5IlE,ChIJ-xr6AvAYnlQRyB41FUdz64s,ChIJgSoIl3PXmVQRyuvVmv8Ie_c,ChIJZybAAhyHl1QR4Lfk3-A3hTQ,ChIJIyGkIbJil1QRl4stLbej8Ys,ChIJVVUV381dlVQR6NyAzQ-Yjtk,ChIJN1pNxEqAl1QRCfMKGbRF5XM,ChIJE3iwEqeHl1QRJ5JW7buZGds,ChIJaSR16owQmFQR2G6UY66WNFI,ChIJRZY3g87XmVQRO9mNNTVPKRk,ChIJiSidl21qolQRM-eDy6OSOH0,ChIJE3iwEqeHl1QR2xa9XCkDnaY,ChIJEbJuNdT-v1QRGMBUotzTaOU,ChIJ__-P2KaHl1QRrDvW0fc_9yY
Yurok Tribe,ChIJ1R9ZbxWo0VQRAYh9feGkvLw,ChIJ1R9ZbxWo0VQRAYh9feGkvLw,,,,,,,,,,,,,,,,,,,
Yuma Regional Medical Center,ChIJ53Z8fB321oAR3J7ZzadiWaI,ChIJ53Z8fB321oAR3J7ZzadiWaI,,,,,,,,,,,,,,,,,,,
Yuma Dialysis,ChIJJePHCCH21oARKROUmCgAv6w,ChIJJePHCCH21oARKROUmCgAv6w,ChIJFbKWdgxh1oARYbRY7KGAPHI,ChIJVVVZSnth1oAR_WHckj8nyRU,,,,,,,,,,,,,,,,,
Yukow Kuskokwiw,ChIJB_aBUSdVIFcRiau_XsC4Rcw,ChIJB_aBUSdVIFcRiau_XsC4Rcw,ChIJ4a7klpSXyFYRdGYx0glu7dE,ChIJzW3Kq9FUIFcRcH4UEFQlApk,ChIJMS1bWR9m9YgRviNUwvLiqoU,ChIJ6QrTNdhUIFcRu7TTbWbRwCg,ChIJVVVVVcWdIlcRb_3NiCtUKKs,ChIJDX88s9lUIFcRUoGQaE0lME8,,,,,,,,,,,,,
